//id	prefab	search dist	strafe min	strafe max	hp	bp	atk	def	brk	lv	exp	gold	skills	trigger radius	killedscore
10001	Characters/Mobs/Demo/CannonTower	10	0.5	1.5	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10002	Characters/Mobs/Demo/CannonTower_Hit	10	0.5	1.5	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10003	Characters/Mobs/Demo/CannonTower_Knockup	10	0.5	1.5	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10004	Characters/Mobs/Demo/CannonTower_MultipleHit	10	0.5	1.5	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10005	Characters/Mobs/Demo/Pig_As_Bot	10	0.5	1.5	10	300	13.33333333	10	1.666666667	1	2	2	4,5,6	3	0
10006	Characters/Mobs/Demo/fort_01_Trigger_Network	10	1	1	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10007	Characters/Mobs/Demo/fort_01_Trigger_Network	10	0.7	0.7	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10008	Characters/Mobs/Demo/fort_01_Trigger_Network	10	0.1	0.1	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10009	Characters/Mobs/Demo/fort_01_Trigger_Network	10	0.5	0.5	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10010	Characters/Mobs/Demo/fort_01_Trigger_Network	10	0.2	0.2	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10011	Characters/Mobs/Demo/fort_01_Trigger_Network	10	2	2	10	300	13.33333333	10	1.666666667	1	2	2	7	10	0
10012	Characters/Mobs/Demo/Trap_Slime_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	8	1	0
10013	Characters/Mobs/Demo/AccessTrigger_Computer	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
10014	Characters/Mobs/Demo/AccessTarget_LaserGate	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
10015	Characters/Mobs/Demo/Monster_01	7	0.5	1.5	10	300	13.33333333	10	1.666666667	1	2	2	9,10	4	0
10016	Characters/Mobs/Demo/Monster_02	7	0.5	1.5	10	300	13.33333333	10	1.666666667	1	2	2	9,11	4	0
10017	Characters/Mobs/Demo/Bar_Door_01_Network	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
10018	Characters/Mobs/Demo/Demo_001_s00_button_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
10019	Characters/Mobs/Demo/AccessTarget_RotationGate	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
10020	Characters/Mobs/Demo/Demo_018_s00_Portal_01	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
15001	Objects/_Demo/NetworkPickUpBall	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
15002	Objects/_Demo/NetworkPickUpBall_ReplenishBlood	0.5	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
15003	Objects/_Demo/NetworkPickUpBall_SummonPet	1	1	1	10	300	13.33333333	10	1.666666667	1	2	2	0	1	0
1001	Characters/Pets/Demo/Pig_As_Pet	10	0.5	1.5	70	300	16.66666667	10	1.666666667	1	2	2	1000,1010,1020	5	0
1002	Characters/Pets/Demo/Pig_As_Pet	10	0.5	1.5	70	320	19.25	11	1.888888889	2	3	4	1001,1011,1021	5	0
1003	Characters/Pets/Demo/Pig_As_Pet	10	0.5	1.5	70	340	23.95833333	13	2.111111111	3	3	4	1002,1012,1022	5	0
1004	Characters/Pets/Demo/Pig_As_Pet	10	0.5	1.5	70	360	31.41666667	16	2.333333333	4	4	5	1003,1013,1023	5	0
1005	Characters/Pets/Demo/Pig_As_Pet	10	0.5	1.5	70	380	42.75	20	2.555555556	5	5	6	1004,1014,1024	5	0
1151	Characters/Pets/Demo/Chameleon_01_As_Pet	10	0.5	1.5	50	300	13.33333333	10	1.666666667	1	2	2	1100,1110,1120,1130,1140,1150	10	0
1301	Characters/Pets/Demo/Bull_01_As_Pet	10	0.5	1.5	50	300	13.33333333	10	1.666666667	1	2	2	1200,1210,1220	10	0
1451	Characters/Pets/Demo/Rabbit_01_As_Pet	10	0.5	1.5	50	300	10	10	1.666666667	1	2	2	1300,1310,1320	10	0
1452	Characters/Pets/Demo/Rabbit_01_As_Pet	10	0.5	1.5	50	320	11.55	11	1.888888889	2	3	4	1301,1311,1321	10	0
1453	Characters/Pets/Demo/Rabbit_01_As_Pet	10	0.5	1.5	50	340	14.375	13	2.111111111	3	3	4	1302,1312,1322	10	0
1454	Characters/Pets/Demo/Rabbit_01_As_Pet	10	0.5	1.5	50	360	18.85	16	2.333333333	4	4	5	1303,1313,1323	10	0
1455	Characters/Pets/Demo/Rabbit_01_As_Pet	10	0.5	1.5	50	380	25.65	20	2.555555556	5	5	6	1304,1314,1324	10	0
1601	Characters/Pets/Demo/Pufferfish_01_As_Pet	10	0.5	1.5	50	300	13.33333333	10	1.666666667	1	2	2	1400,1410,1420,1430,1440,1450	10	0
1751	Characters/Pets/Demo/Bear_01_As_Pet	10	0.5	1.5	100	300	13.33333333	10	1.666666667	1	2	2	1500,1510,1520	7	0
1752	Characters/Pets/Demo/Bear_01_As_Pet	10	0.5	1.5	100	320	15.4	11	1.888888889	2	3	4	1501,1511,1521	7	0
1753	Characters/Pets/Demo/Bear_01_As_Pet	10	0.5	1.5	100	340	19.16666667	13	2.111111111	3	3	4	1502,1512,1522	7	0
