// Item ID	LocalizationName	LocalizationDescription	Category	Type	Style	Price	Exchangable	ManagerId	Network	Npc ID	SortWeight	Show	Subtype	AutoGen	Region	Rarity
0	ui.item.mapobj.playerstart	ui.item.mapobj.playerstart.desc	MapObject	MapObject_Gameplay	B	0	FALSE	0	FALSE	-1	0	FALSE	None	FALSE	Map	N
1	ui.item.mapobj.playerexit	ui.item.mapobj.playerexit.desc	MapObject	MapObject_Gameplay	B	0	FALSE	1	FALSE	-1	0	FALSE	None	FALSE	Map	N
2	ui.item.mapobj.barstool	ui.item.mapobj.barstool.desc	MapObject	MapObject_Put&Sit	B	0	FALSE	2	FALSE	-1	0	FALSE	None	FALSE	Map	N
3	ui.item.mapobj.barstool	ui.item.mapobj.barstool.desc	MapObject	MapObject_Put&Sit	B	0	FALSE	3	FALSE	-1	0	FALSE	None	FALSE	Map	N
4	ui.item.mapobj.city	ui.item.mapobj.city.desc	MapObject	MapObject_OnFloor	B	0	FALSE	4	FALSE	-1	0	FALSE	None	FALSE	Map	N
5	ui.item.mapobj.cocona	ui.item.mapobj.cocona.desc	MapObject	MapObject_OnFloor	B	0	FALSE	5	FALSE	-1	0	FALSE	None	FALSE	Map	N
6	ui.item.mapobj.darts	ui.item.mapobj.darts.desc	MapObject	MapObject_OnFloor	B	0	FALSE	6	FALSE	-1	0	FALSE	None	FALSE	Map	N
7	ui.item.mapobj.dj	ui.item.mapobj.dj.desc	MapObject	MapObject_OnFloor	B	0	FALSE	7	FALSE	-1	0	FALSE	None	FALSE	Map	N
8	ui.item.mapobj.flamingo	ui.item.mapobj.flamingo.desc	MapObject	MapObject_OnFloor	B	0	FALSE	8	FALSE	-1	0	FALSE	None	FALSE	Map	N
9	ui.item.mapobj.sofa	ui.item.mapobj.sofa.desc	MapObject	MapObject_Put&Sit	B	0	FALSE	9	FALSE	-1	0	FALSE	None	FALSE	Map	N
10	ui.item.mapobj.sofa	ui.item.mapobj.sofa.desc	MapObject	MapObject_Put&Sit	B	0	FALSE	10	FALSE	-1	0	FALSE	None	FALSE	Map	N
11	ui.item.mapobj.sofa	ui.item.mapobj.sofa.desc	MapObject	MapObject_Put&Sit	B	0	FALSE	11	FALSE	-1	0	FALSE	None	FALSE	Map	N
12	ui.item.mapbase.bar.door	ui.item.mapbase.bar.door.desc	MapBase	MapBase_Door	B	0	FALSE	0	TRUE	20001	0	FALSE	None	FALSE	Map	N
13	ui.item.mapbase.bar.wall	ui.item.mapbase.bar.wall.desc	MapBase	MapBase_Wall	B	0	FALSE	1	FALSE	-1	0	FALSE	None	FALSE	Map	N
14	ui.item.mappillar.bar.pillar	ui.item.mappillar.bar.pillar.desc	MapBase	MapBase_Pillar	B	0	FALSE	2	FALSE	-1	0	FALSE	None	FALSE	Map	N
15	DemoSwitch_10018	ui.item.mapobj.name.705.0000	MapObject	MapObject_Gameplay	None	0	FALSE	12	TRUE	10018	0	FALSE	None	FALSE	Map	N
16	DemoSpawner_10015	DemoSpawner_10015	MapObject	MapObject_Gameplay	None	0	FALSE	13	FALSE	-1	0	FALSE	None	FALSE	Map	N
17	DemoCannon_10006	ui.item.mapobj.name.704.5030	MapObject	MapObject_Gameplay	None	0	FALSE	14	TRUE	10006	0	FALSE	None	FALSE	Map	N
18	RotationDoorDemo	0	MapObject	MapObject_Gameplay	None	0	FALSE	15	TRUE	10019	0	FALSE	None	FALSE	Map	N
19	PickUpBallDemo_ReplenishBlood	0	MapObject	MapObject_Gameplay	None	0	FALSE	16	TRUE	15002	0	FALSE	None	FALSE	Map	N
20	PickUpBallDemo_SummonPet	0	MapObject	MapObject_Gameplay	None	0	FALSE	17	TRUE	15003	0	FALSE	None	FALSE	Map	N
21	DialoguePoint_106	0	Utility	Utility_Resource	None	0	FALSE	21	TRUE	15004	0	FALSE	None	FALSE	Map	N
100	ui.item.currency.name.100	0	Item	Currency	None	0	FALSE	100	FALSE	-1	0	FALSE	None	FALSE	0	N
101	ui.item.currency.name.101	0	Item	Currency	None	0	FALSE	101	FALSE	-1	0	FALSE	None	FALSE	0	N
102	ui.item.currency.name.102	0	Item	Currency	None	0	FALSE	102	FALSE	-1	0	FALSE	None	FALSE	0	N
199	ui.item.currency.name.199	0	Item	Currency	None	0	FALSE	199	FALSE	-1	0	FALSE	None	FALSE	0	N
200	ui.item.currency.name.200	0	Item	Currency	None	0	FALSE	200	FALSE	-1	0	FALSE	None	FALSE	0	N
201	ui.item.currency.name.201	0	Item	TaskPoint	None	0	FALSE	201	FALSE	-1	0	FALSE	None	FALSE	0	N
202	ui.item.currency.name.202	0	Item	TaskPoint	None	0	FALSE	202	FALSE	-1	0	FALSE	None	FALSE	0	N
300	ui.item.currency.name.300	0	Item	TaskPoint	None	0	FALSE	300	FALSE	-1	0	FALSE	None	FALSE	0	N
1010000	ui.item.mapobj.name.101.0000	0	MapBase	MapBase_Wall	B	0	FALSE	1	FALSE	-1	0	TRUE	None	FALSE	Map	R
1010001	ui.item.mapobj.name.101.0001	0	MapBase	MapBase_Wall	C	0	FALSE	1010001	FALSE	-1	0	TRUE	None	FALSE	Map	R
1010002	ui.item.mapobj.name.101.0002	0	MapBase	MapBase_Wall	D	0	FALSE	1010002	FALSE	-1	0	TRUE	None	FALSE	Map	R
1010003	ui.item.mapobj.name.101.0003	0	MapBase	MapBase_Wall	A	0	FALSE	1010003	FALSE	-1	0	TRUE	None	FALSE	Map	R
1010004	ui.item.mapobj.name.101.0004	0	MapBase	MapBase_Wall	E	0	FALSE	1010004	FALSE	-1	0	TRUE	None	FALSE	Map	R
