// SkillId	Name	Desc	UISpriteName	Cool down	Anim Index	Active Delay	Active Timeout	Distance	Protection Time	Hit Reaction	Hit Dir Mode	Knockup Speed XZ	Knockup Speed Y	Damage	Minimum Damage Limit	Minimum Damage Value	Proj Attach OnBone	Proj Attach BoneName	Proj Prefab	Proj Explosion Damage	Proj Tracking Mode	Parabola
0	skill.playeratt02.name	skill.playeratt02.desc	icon_skill_01	0.5	0	0.25	2.5	10	0.1	Hit	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Proj_EnergyMissileBlue	20	Position	FALSE
1	skill.playeratt01.name	skill.playeratt01.desc	icon_skill_00	2.5	1	1.3	0.5	2	0.5	None	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Proj_MeleeAttack	20	None	FALSE
2	skill.playeratt02.name	skill.playeratt02.desc	icon_skill_02	1.5	2	0.1	2.8	2	0.1	Knockup	Attacker	5	2	1	TRUE	1	TRUE	Muzzle	Skills/Demo/Proj_Melee_BodyImpact	20	None	FALSE
4	x	x	x	0	0	0.3	0.2	2.5	0.5	None	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Pig/Proj_MeleeAttack_1.5	20	None	FALSE
5	x	x	x	0	1	0.3	0.3	2.5	0.5	Hit	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Pig/Proj_MeleeAttack_1.5	20	None	FALSE
6	x	x	x	0	2	1	0.3	5	0.5	Hit	Attacker	4	3	1	TRUE	1	FALSE	Center	Skills/Demo/Pig/Proj_MeleeAttack_2.0	20	None	FALSE
7	x	x	x	0	0	0	1	999999	0.5	None	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Fort/Proj_Duck	20	None	FALSE
8	x	x	x	0	0	0	0.2	999999	2	None	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Trap_PoisonSlime/Proj_Poison	20	None	FALSE
9	x	x	x	3	0	0.3	0.2	2.5	0.5	None	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Monster_01/Proj_MeleeAttack_1m	20	None	FALSE
10	x	x	x	10	1	0.25	0.3	2.5	0.5	None	Attacker	4	3	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Monster_01/Proj_MeleeAttack_1m	20	None	FALSE
11	x	x	x	10	2	0.5	0.3	2.5	0.5	None	Attacker	4	3	1	TRUE	1	FALSE	Center	Skills/Demo/Monster_01/Proj_MeleeAttack_2m	20	None	FALSE
99	x	x	x	0	2	0.14	0.06	2.5	0.5	Knockup	Relative	10	1	10	TRUE	1	TRUE	Muzzle	Skills/Demo/MeleeAttack_Test	20	None	FALSE
100	x Player Basic Shoot Lv.1	x	x	1	1	0.25	2.5	0	0.1	None	Attacker	0	0	1	TRUE	1	FALSE	Muzzle	Skills/Demo/Proj_EnergyMissileBlue	20	Position	FALSE
101	x Player Basic Shoot Lv.2	x	x	1	1	0.25	2.5	0	0.1	Hit	Attacker	0	0	1.5	TRUE	1	FALSE	Muzzle	Skills/Demo/Proj_EnergyMissileBlue	20	Position	FALSE
102	x Player Basic Shoot Lv.3	x	x	1	1	0.25	2.5	0	0.1	None	Attacker	0	0	2	TRUE	1	FALSE	Muzzle	Skills/Demo/Proj_EnergyMissileBlue	20	Position	FALSE
103	x Player Basic Shoot Lv.4	x	x	1	1	0.25	2.5	0	0.1	Hit	Attacker	0	0	2.5	TRUE	1	FALSE	Muzzle	Skills/Demo/Proj_EnergyMissileBlue	20	Position	FALSE
