// lv	exp	hp	bp	sp	atk	def	brk
1	100	100	15	100	20	10	15
2	110	110	17	100	21	11	16
3	125	125	19	100	23	13	17
4	146	145	21	100	26	16	18
5	175	171	23	100	30	20	19
6	212	202	25	100	35	25	20
7	259	239	27	100	41	31	21
8	317	282	29	100	49	38	22
9	387	331	31	100	58	46	23
10	472	386	33	200	69	55	24
11	574	448	36	200	81	66	25
12	695	516	39	200	95	78	26
13	838	591	42	200	110	91	27
14	1007	673	45	200	127	106	28
15	1205	762	48	200	146	122	29
16	1437	858	52	200	167	139	30
17	1708	962	56	200	190	158	31
18	2024	1073	60	200	215	178	32
19	2391	1192	64	200	243	200	33
20	2818	1319	68	300	273	223	34
21	3313	1454	73	300	306	248	35
22	3886	1598	78	300	341	275	36
23	4549	1750	83	300	379	303	37
24	5315	1911	88	300	420	333	38
25	6201	2081	93	300	464	365	39
26	7223	2260	99	300	511	399	40
27	8403	2449	105	300	562	435	41
28	9764	2648	111	300	616	472	42
29	11333	2857	117	300	674	511	43
30	13142	3076	123	400	736	552	44
31	15226	3305	130	400	802	595	45
32	17627	3545	137	400	872	641	46
33	20392	3796	144	400	947	689	47
34	23576	4058	151	400	1027	739	48
35	27241	4332	158	400	1112	791	49
36	31460	4618	166	400	1202	845	50
37	36316	4916	174	400	1297	902	51
38	41904	5226	182	400	1398	961	52
39	48335	5549	190	400	1505	1023	53
40	55734	5885	198	500	1619	1087	54
41	64247	6235	207	500	1739	1154	55
42	74041	6598	216	500	1866	1224	56
43	85309	6975	225	500	2001	1296	57
44	98271	7367	234	500	2143	1371	58
45	113181	7774	244	500	2294	1449	59
46	130332	8196	254	500	2453	1530	60
47	150060	8633	264	500	2621	1614	61
48	172751	9086	275	500	2799	1701	62
49	198850	9556	287	500	2987	1791	63
50	228868	10043	300	600	3185	1885	64
