// Item ID	LocalizationName	LocalizationDescription	Category	Type	Style	Price	Exchangable	ManagerId	Network	Npc ID	SortWeight	Show	Subtype
0	ui.item.mapobj.playerstart	ui.item.mapobj.playerstart.desc	MapObject	MapObject_Gameplay	Bar	0	FALSE	0	FALSE	-1	0	FALSE	None
1	ui.item.mapobj.playerexit	ui.item.mapobj.playerexit.desc	MapObject	MapObject_Gameplay	Bar	0	FALSE	1	FALSE	-1	0	FALSE	None
2	ui.item.mapobj.barstool	ui.item.mapobj.barstool.desc	MapObject	MapObject_Put&Sit	Bar	0	FALSE	2	FALSE	-1	0	FALSE	None
3	ui.item.mapobj.barstool	ui.item.mapobj.barstool.desc	MapObject	MapObject_Put&Sit	Bar	0	FALSE	3	FALSE	-1	0	FALSE	None
4	ui.item.mapobj.city	ui.item.mapobj.city.desc	MapObject	MapObject_OnFloor	Bar	0	FALSE	4	FALSE	-1	0	FALSE	None
5	ui.item.mapobj.cocona	ui.item.mapobj.cocona.desc	MapObject	MapObject_OnFloor	Bar	0	FALSE	5	FALSE	-1	0	FALSE	None
6	ui.item.mapobj.darts	ui.item.mapobj.darts.desc	MapObject	MapObject_OnFloor	Bar	0	FALSE	6	FALSE	-1	0	FALSE	None
7	ui.item.mapobj.dj	ui.item.mapobj.dj.desc	MapObject	MapObject_OnFloor	Bar	0	FALSE	7	FALSE	-1	0	FALSE	None
8	ui.item.mapobj.flamingo	ui.item.mapobj.flamingo.desc	MapObject	MapObject_OnFloor	Bar	0	FALSE	8	FALSE	-1	0	FALSE	None
9	ui.item.mapobj.sofa	ui.item.mapobj.sofa.desc	MapObject	MapObject_Put&Sit	Bar	0	FALSE	9	FALSE	-1	0	FALSE	None
10	ui.item.mapobj.sofa	ui.item.mapobj.sofa.desc	MapObject	MapObject_Put&Sit	Bar	0	FALSE	10	FALSE	-1	0	FALSE	None
11	ui.item.mapobj.sofa	ui.item.mapobj.sofa.desc	MapObject	MapObject_Put&Sit	Bar	0	FALSE	11	FALSE	-1	0	FALSE	None
12	ui.item.mapbase.bar.door	ui.item.mapbase.bar.door.desc	MapBase	MapBase_Door	Bar	0	FALSE	0	TRUE	20001	0	FALSE	None
13	ui.item.mapbase.bar.wall	ui.item.mapbase.bar.wall.desc	MapBase	MapBase_Wall	Bar	0	FALSE	1	FALSE	-1	0	FALSE	None
14	ui.item.mappillar.bar.pillar	ui.item.mappillar.bar.pillar.desc	MapBase	MapBase_Pillar	Bar	0	FALSE	2	FALSE	-1	0	FALSE	None
15	DemoSwitch_10018	ui.item.mapobj.name.705.0000	MapObject	MapObject_Gameplay	None	0	FALSE	12	TRUE	10018	0	FALSE	None
16	DemoSpawner_10015	DemoSpawner_10015	MapObject	MapObject_Gameplay	None	0	FALSE	13	FALSE	-1	0	FALSE	None
17	DemoCannon_10006	ui.item.mapobj.name.704.5030	MapObject	MapObject_Gameplay	None	0	FALSE	14	TRUE	10006	0	FALSE	None
1010000	ui.item.mapobj.name.101.0000	0	MapBase	MapBase_Wall	Bar	0	FALSE	1010000	FALSE	-1	0	TRUE	None
1010001	ui.item.mapobj.name.101.0001	0	MapBase	MapBase_Wall	Bar	0	FALSE	1010001	FALSE	-1	0	TRUE	None
1010002	ui.item.mapobj.name.101.0002	0	MapBase	MapBase_Wall	Bar	0	FALSE	1010002	FALSE	-1	0	TRUE	None
1010003	ui.item.mapobj.name.101.0003	0	MapBase	MapBase_Wall	Com	0	FALSE	1010003	FALSE	-1	0	TRUE	None
1020000	ui.item.mapobj.name.102.0000	0	MapBase	MapBase_Door	Bar	0	FALSE	1020000	TRUE	20001	0	TRUE	None
1020001	ui.item.mapobj.name.102.0001	0	MapBase	MapBase_Door	Bar	0	FALSE	1020001	TRUE	20002	0	TRUE	None
1020002	ui.item.mapobj.name.102.0002	0	MapBase	MapBase_Door	Bar	0	FALSE	1020002	TRUE	20003	0	TRUE	None
1020003	ui.item.mapobj.name.102.0003	0	MapBase	MapBase_Door	Com	0	FALSE	1020003	TRUE	20004	0	TRUE	None
1030000	ui.item.mapobj.name.103.0000	0	MapBase	MapBase_Pillar	Bar	0	FALSE	1030000	FALSE	-1	0	TRUE	None
1030001	ui.item.mapobj.name.103.0001	0	MapBase	MapBase_Pillar	Bar	0	FALSE	1030001	FALSE	-1	0	TRUE	None
1030002	ui.item.mapobj.name.103.0002	0	MapBase	MapBase_Pillar	Bar	0	FALSE	1030002	FALSE	-1	0	TRUE	None
1030003	ui.item.mapobj.name.103.0003	0	MapBase	MapBase_Pillar	Com	0	FALSE	1030003	FALSE	-1	0	TRUE	None
2010000	ui.item.mapobj.name.201.0000	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010000	FALSE	-1	0	TRUE	None
2010010	ui.item.mapobj.name.201.0010	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010010	FALSE	-1	0	TRUE	None
2010020	ui.item.mapobj.name.201.0020	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010020	FALSE	-1	0	TRUE	None
2010021	ui.item.mapobj.name.201.0021	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010021	FALSE	-1	0	TRUE	None
2010022	ui.item.mapobj.name.201.0022	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010022	FALSE	-1	0	TRUE	None
2010023	ui.item.mapobj.name.201.0023	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010023	FALSE	-1	0	TRUE	None
2010030	ui.item.mapobj.name.201.0030	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010030	FALSE	-1	0	TRUE	None
2010031	ui.item.mapobj.name.201.0031	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010031	FALSE	-1	0	TRUE	None
2010032	ui.item.mapobj.name.201.0032	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010032	FALSE	-1	0	TRUE	None
2010033	ui.item.mapobj.name.201.0033	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010033	FALSE	-1	0	TRUE	None
2010034	ui.item.mapobj.name.201.0034	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010034	FALSE	-1	0	TRUE	None
2010040	ui.item.mapobj.name.201.0040	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010040	FALSE	-1	0	TRUE	None
2010041	ui.item.mapobj.name.201.0041	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010041	FALSE	-1	0	TRUE	None
2010042	ui.item.mapobj.name.201.0042	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010042	FALSE	-1	0	TRUE	None
2010043	ui.item.mapobj.name.201.0043	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010043	FALSE	-1	0	TRUE	None
2010044	ui.item.mapobj.name.201.0044	0	MapObject	MapObject_OnFloor	None	0	FALSE	2010044	FALSE	-1	0	TRUE	None
2020000	ui.item.mapobj.name.202.0000	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020000	FALSE	-1	0	TRUE	None
2020010	ui.item.mapobj.name.202.0010	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020010	FALSE	-1	0	TRUE	None
2020020	ui.item.mapobj.name.202.0020	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020020	FALSE	-1	0	TRUE	None
2020030	ui.item.mapobj.name.202.0030	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020030	FALSE	-1	0	TRUE	None
2020040	ui.item.mapobj.name.202.0040	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020040	FALSE	-1	0	TRUE	None
2020050	ui.item.mapobj.name.202.0050	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020050	FALSE	-1	0	TRUE	None
2020060	ui.item.mapobj.name.202.0060	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020060	FALSE	-1	0	TRUE	None
2020070	ui.item.mapobj.name.202.0070	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020070	FALSE	-1	0	TRUE	None
2020080	ui.item.mapobj.name.202.0080	0	MapObject	MapObject_OnFloor	None	0	FALSE	2020080	FALSE	-1	0	TRUE	None
2030000	ui.item.mapobj.name.203.0000	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030000	FALSE	-1	0	TRUE	None
2030001	ui.item.mapobj.name.203.0001	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030001	FALSE	-1	0	TRUE	None
2030002	ui.item.mapobj.name.203.0002	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030002	FALSE	-1	0	TRUE	None
2030003	ui.item.mapobj.name.203.0003	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030003	FALSE	-1	0	TRUE	None
2030004	ui.item.mapobj.name.203.0004	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030004	FALSE	-1	0	TRUE	None
2030010	ui.item.mapobj.name.203.0010	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030010	FALSE	-1	0	TRUE	None
2030011	ui.item.mapobj.name.203.0011	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030011	FALSE	-1	0	TRUE	None
2030012	ui.item.mapobj.name.203.0012	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030012	FALSE	-1	0	TRUE	None
2030013	ui.item.mapobj.name.203.0013	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030013	FALSE	-1	0	TRUE	None
2030014	ui.item.mapobj.name.203.0014	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030014	FALSE	-1	0	TRUE	None
2030020	ui.item.mapobj.name.203.0020	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030020	FALSE	-1	0	TRUE	None
2030021	ui.item.mapobj.name.203.0021	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030021	FALSE	-1	0	TRUE	None
2030022	ui.item.mapobj.name.203.0022	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030022	FALSE	-1	0	TRUE	None
2030023	ui.item.mapobj.name.203.0023	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030023	FALSE	-1	0	TRUE	None
2030024	ui.item.mapobj.name.203.0024	0	MapObject	MapObject_OnFloor	None	0	FALSE	2030024	FALSE	-1	0	TRUE	None
2040000	ui.item.mapobj.name.204.0000	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040000	FALSE	-1	0	TRUE	None
2040010	ui.item.mapobj.name.204.0010	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040010	FALSE	-1	0	TRUE	None
2040011	ui.item.mapobj.name.204.0011	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040011	FALSE	-1	0	TRUE	None
2040012	ui.item.mapobj.name.204.0012	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040012	FALSE	-1	0	TRUE	None
2040013	ui.item.mapobj.name.204.0013	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040013	FALSE	-1	0	TRUE	None
2040020	ui.item.mapobj.name.204.0020	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040020	FALSE	-1	0	TRUE	None
2040030	ui.item.mapobj.name.204.0030	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040030	FALSE	-1	0	TRUE	None
2040040	ui.item.mapobj.name.204.0040	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040040	FALSE	-1	0	TRUE	None
2040050	ui.item.mapobj.name.204.0050	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040050	FALSE	-1	0	TRUE	None
2040060	ui.item.mapobj.name.204.0060	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040060	FALSE	-1	0	TRUE	None
2040070	ui.item.mapobj.name.204.0070	0	MapObject	MapObject_OnFloor	None	0	FALSE	2040070	FALSE	-1	0	TRUE	None
2050000	ui.item.mapobj.name.205.0000	0	MapObject	MapObject_OnFloor	None	0	FALSE	2050000	FALSE	-1	0	TRUE	None
2050010	ui.item.mapobj.name.205.0010	0	MapObject	MapObject_OnFloor	None	0	FALSE	2050010	FALSE	-1	0	TRUE	None
